"","X","ID","Dead","Age","Gender","Race","Class","Major1","Major2","Minor1","Minor2","Position","Profession","Industry","City","State","loc","Nurse","lon","lat"
"272",5208,1297770,0,"29","Female","White",2013,"Biology","","","","Nurse Practitioner","","Healthcare/Medical Services","North Andover","MA","North Andover, MA",1,-71.1350575,42.6987024
"273",5209,1215464,0,"30","Female","Black or African American",2011,"Nursing","","","","Nurse Practitioner","","Health/Fitness","Jamaica Plain","MA","Jamaica Plain, MA",1,-71.1151431,42.3097365
"274",5210,10032417,0,"46","Female","",1963,"Education","","","","Nurse Practitioner","","","Southbury","CT","Southbury, CT",1,-73.2133715,41.4793072
"275",5211,10029679,0,"47","Female","",1966,"Nursing","","","","Nurse Practitioner","","","Palo Alto","CA","Palo Alto, CA",1,-122.1430195,37.4418834
"276",5212,10034576,0,"48","Female","",1967,"Nursing","","","","Nurse Practitioner","","","Dowagiac","MI","Dowagiac, MI",1,-86.1086228,41.9842123
"277",5213,10022493,0,"48","Female","White",1969,"Nursing","","","","Nurse Practitioner","","","Port Orange","FL","Port Orange, FL",1,-80.9956105,29.1383165
"278",5214,10040150,0,"67","Female","",1973,"Nursing","","","","Nurse Practitioner","","","Byron","GA","Byron, GA",1,-83.7596295,32.6537561
"279",5215,10029927,0,"66","Female","White",1975,"Nursing","","","","Nurse Practitioner","","","Andover","MA","Andover, MA",1,-71.1367953,42.6583356
"280",5216,10012726,0,"","Female","",1976,"Nursing","","","","Nurse Practitioner","","","Belchertown","MA","Belchertown, MA",1,-72.4008884,42.2770346
"281",5217,10022638,0,"","Female","",1976,"Nursing","","","","Nurse Practitioner","","","Evergreen","CO","Evergreen, CO",1,-105.3172146,39.6333213
"282",5218,10015658,0,"61","Female","",1979,"Nursing","","","","Nurse Practitioner","","","Westwood","MA","Westwood, MA",1,-71.2244987,42.2139873
"283",5219,10028847,0,"62","Female","White",1979,"Nursing","","","","Nurse Practitioner","","","Gilford","NH","Gilford, NH",1,-71.4067385,43.5475771
"284",5220,101020,0,"60","Female","",1981,"Nursing","","","","Nurse Practitioner","","","Middleboro","MA","Middleboro, MA",1,-70.9107708,41.8929942
"285",5221,10050534,0,"60","Female","Black or African American",1981,"Nursing","","","","Nurse Practitioner","","","Virginia Bch","VA","Virginia Bch, VA",1,-75.977985,36.8529263
"286",5222,10047415,0,"59","Female","",1982,"Nursing","","","","Nurse Practitioner","","","Peabody","MA","Peabody, MA",1,-70.9286609,42.5278731
"287",5223,10050987,0,"56","Female","",1984,"Nutrition","","","","Nurse Practitioner","","","Wakefield","MA","Wakefield, MA",1,-71.0723391,42.5039395
"288",5224,10048404,0,"54","Female","White",1986,"Nursing","","","","Nurse Practitioner","","","West Hartford","CT","West Hartford, CT",1,-72.7420151,41.7620842
"289",5225,99393,0,"57","Female","White",1987,"Biology","","","","Nurse Practitioner","","","Henrico","VA","Henrico, VA",1,-77.3324425,37.5059332
"290",5226,10052889,0,"54","Female","",1987,"Nursing","","","","Nurse Practitioner","","","San Francisco","CA","San Francisco, CA",1,-122.4194155,37.7749295
"291",5227,10051918,0,"51","Female","White",1989,"Nursing","","","","Nurse Practitioner","","","New York","NY","New York, NY",1,-74.0059728,40.7127753
"292",5228,21625,0,"51","Female","White",1990,"Nursing","","","","Nurse Practitioner","","","Maynard","MA","Maynard, MA",1,-71.4495058,42.4334903
"293",5229,18248,0,"50","Female","White",1991,"Nursing","","","","Nurse Practitioner","","","Southwick","MA","Southwick, MA",1,-72.7703724,42.0548167
"294",5230,114470,0,"52","Female","",1991,"Nursing","","","","Nurse Practitioner","","","Danvers","MA","Danvers, MA",1,-70.932122,42.5750009
"295",5231,138511,0,"47","Female","White",1993,"Biochemistry","","","","Nurse Practitioner","","","West Newton","MA","West Newton, MA",1,-71.2250533,42.3497948
"296",5232,242385,0,"66","Female","White",1995,"Nursing","","","","Nurse Practitioner","","","Revere","MA","Revere, MA",1,-71.0119948,42.4084302
"297",5233,195208,0,"45","Female","White",1997,"Nursing","","","","Nurse Practitioner","","","Sherman Oaks","CA","Sherman Oaks, CA",1,-118.451357,34.1489719
"298",5234,10019895,0,"64","Female","White",1977,"Nursing","","","","Nurse Practitioner - CVIR","","","Marion","MA","Marion, MA",1,-70.7525299,41.697719
"299",5235,1147028,0,"30","Female","White",2010,"Nursing","","","","Nurse Practitioner- Anesthesia","","Healthcare/Medical Services","Winchester","MA","Winchester, MA",1,-71.1369959,42.452303
"300",5236,10050185,0,"57","Female","White",1983,"Nursing","","","","Nurse Practitioner-Part-Time","","","West Newbury","MA","West Newbury, MA",1,-70.989778,42.8014795
"301",5237,281921,0,"57","Female","White",1996,"Nursing","","","","Nurse Practitioner, Health Center","","Education - Higher","North Andover","MA","North Andover, MA",1,-71.1350575,42.6987024
"302",5238,10014102,0,"52","Female","White",1988,"Nursing","","","","Nurse Practitioner/Owner","Nurse","Healthcare/Medical Services","Bedford","NH","Bedford, NH",1,-71.5132008,42.9463291
"303",5239,10004049,0,"67","Female","White",1973,"Management","","","","Nurse Recruiter","Human Resources","Healthcare/Medical Services","West Roxbury","MA","West Roxbury, MA",1,-71.1626756,42.2797554
"304",5240,136948,0,"46","Female","White",1961,"Nutrition","","","","Nurse Reviewer Cardio Data","","","Jupiter","FL","Jupiter, FL",1,-80.0942087,26.9342246
"305",5241,567470,0,"53","Female","Latino/a or Hispanic",2005,"Nursing","","Biology","","Nurse Staff","","Healthcare/Medical Services","Pepperell","MA","Pepperell, MA",1,-71.5884363,42.6659232
"306",5242,1043954,0,"36","Female","White",2007,"Nursing","","","","Nurse Supervisor","","Healthcare/Medical Services","Haymarket","VA","Haymarket, VA",1,-77.6363806,38.8120591
"307",5243,10030242,0,"63","Female","",1977,"Mathematics","Philosophy","","","Nurse-Midwife","","","Lakewood","CO","Lakewood, CO",1,-105.0813734,39.7047095
"308",5244,791269,0,"38","Female","White",2005,"Nursing","","","","Nurse, Medical Center","","","Nashville","TN","Nashville, TN",1,-86.7816016,36.1626638
"309",5245,958747,0,"33","Female","White",2008,"Nursing","","","","Nurse, University Hospital","","Education - Higher","Lakewood","OH","Lakewood, OH",1,-81.7981908,41.4819932
"310",5246,10009630,0,"49","Female","",1971,"Nursing","","","","Nurse/ Emergency Room","","","Laconia","NH","Laconia, NH",1,-71.4703509,43.5278546
"311",5247,10016329,0,"46","Female","",1964,"Nursing","","","","Nurse/Therapist","","","Brooklyn","NY","Brooklyn, NY",1,-73.9441579,40.6781784
"312",5248,10017433,0,"66","Female","",1974,"Education","","","","Nursery School Teacher","","","Lynnfield","MA","Lynnfield, MA",1,-71.0465638,42.53869
"313",5314,10009584,0,"48","Female","",1969,"Nursing","","","","Ob-Gyn Nurse","","","Roslindale","MA","Roslindale, MA",1,-71.1270268,42.2832142
"314",5317,279218,0,"44","Female","Black or African American",1997,"Nursing","","","","OB/GYN Nurse Coordinator","","Healthcare/Medical Services","Billerica","MA","Billerica, MA",1,-71.2689461,42.5584218
"315",5318,10023882,0,"69","Female","",1972,"Sociology","","","","OB/GYN Nurse Practitioner","","Healthcare/Medical Services","Newton","MA","Newton, MA",1,-71.2092214,42.3370413
"316",5319,10043235,0,"67","Female","White",1975,"Nursing","","","","Ob/Gyn Nurse Practitioner","","","Bend","OR","Bend, OR",1,-121.3153096,44.0581728
"317",5394,10021604,0,"46","Female","",1962,"Nursing","","","","Office Nurse","","","Boxborough","MA","Boxborough, MA",1,-71.5167139,42.4834197
"318",5402,10003381,0,"63","Female","",1977,"Nursing","","","","Oncology Nurse","","","Duxbury","MA","Duxbury, MA",1,-70.6722767,42.0417525
"319",5403,10049959,0,"","Female","",1987,"Nursing","","","","Oncology Nurse","","","Woodstock","CT","Woodstock, CT",1,-71.9739625,41.9484307
"320",5404,10025752,0,"53","Female","White",1988,"Nursing","","","","Oncology Nurse","","","Taunton","MA","Taunton, MA",1,-71.0897674,41.900101
"321",5405,14251,0,"49","Female","White",1991,"Nursing","","","","Oncology Nurse","","","Abington","MA","Abington, MA",1,-70.9453218,42.1048228
"322",5406,1272547,0,"47","Female","White",2011,"Nursing","","","","Oncology Nurse Manager","","Healthcare/Medical Services","Pembroke","MA","Pembroke, MA",1,-70.8092,42.0714925
"323",5411,1347140,0,"26","Female","White",2014,"Nursing","","","","Operating Room and Perianesthesia Nurse","","Healthcare/Medical Services","Longmeadow","MA","Longmeadow, MA",1,-72.5828642,42.0501022
"324",5413,1476626,0,"25","Female","White",2016,"Nursing","","Health Care Management","","Operating Room Nurse","","Healthcare/Medical Services","Dartmouth","MA","Dartmouth, MA",1,-70.9704787,41.6130323
"325",5414,385644,0,"41","Female","White",2000,"Nursing","","Biology","","Operating Room RN","Nurse","Healthcare/Medical Services","Warner","NH","Warner, NH",1,-71.8334145,43.2556568
"326",5457,1483331,0,"42","Female","White",2015,"Nursing","","","","OR Nurse","Nurse","Healthcare/Medical Services","Hingham","MA","Hingham, MA",1,-70.889759,42.2418172
"327",5703,10041538,0,"64","Female","",1977,"Nursing","","","","Owner, Nurse Anesthetist","","","Warwick","RI","Warwick, RI",1,-71.4161671,41.7001009
"328",5736,10050044,0,"53","Female","White",1988,"Nursing","","","","PACU Staff Nurse","","","Andover","MA","Andover, MA",1,-71.1367953,42.6583356
"329",5870,1462915,0,"25","Female","White",2016,"Nursing","","","","PCA Program Registered Nurse","","Healthcare/Medical Services","Allston","MA","Allston, MA",1,-71.1337112,42.3539038
"330",5881,135256,0,"47","Female","White",1993,"Nursing","","","","Pediatric Endocrinology Nurse Practitioner","","","Charlestown","MA","Charlestown, MA",1,-71.0602131,42.3782065
"331",5883,810585,0,"40","Female","White",2006,"Nursing","","","","Pediatric Intensive Care","Nurse","Healthcare/Medical Services","Gloversville","NY","Gloversville, NY",1,-74.3437467,43.0528506
"332",5884,10048806,0,"55","Female","",1985,"Nursing","","","","Pediatric Nephrology Renal Nurse","","","Natick","MA","Natick, MA",1,-71.3468091,42.2775281
"333",5886,10009601,0,"45","Female","White",1960,"Nursing","","","","Pediatric Nurse","","","Braintree","MA","Braintree, MA",1,-71.0040013,42.2079017
"334",5887,10046574,0,"51","Female","White",1989,"Nursing","","","","Pediatric Nurse","","","Natick","MA","Natick, MA",1,-71.3468091,42.2775281
"335",5888,381345,0,"47","Female","",1998,"Nursing","","","","Pediatric Nurse","","","Westfield","MA","Westfield, MA",1,-72.749538,42.1250929
"336",5889,10049230,0,"53","Female","White",1987,"Nursing","","","","Pediatric Nurse Practionioner","","","Sudbury","MA","Sudbury, MA",1,-71.4161725,42.3834278
"337",5890,10004558,0,"67","Female","",1974,"Nursing","","","","Pediatric Nurse Practitioner","","Healthcare/Medical Services","Arlington","MA","Arlington, MA",1,-71.1564729,42.4153925
"338",5891,10028097,0,"","Female","",1977,"Nursing","","","","Pediatric Nurse Practitioner","","Healthcare/Medical Services","Exeter","NH","Exeter, NH",1,-70.9477546,42.9814292
"339",5892,93803,0,"48","Female","White",1992,"Nursing","","","","Pediatric Nurse Practitioner","Nurse","Healthcare/Medical Services","Marblehead","MA","Marblehead, MA",1,-70.8578024,42.4999582
"340",5893,261987,0,"43","Female","White",1997,"Nursing","","","","Pediatric Nurse Practitioner","","Healthcare/Medical Services","Grafton","MA","Grafton, MA",1,-71.6856236,42.2070391
"341",5894,566055,0,"35","Female","White",2005,"Nursing","","","","Pediatric Nurse Practitioner","","Healthcare/Medical Services","Pasadena","CA","Pasadena, CA",1,-118.1445155,34.1477849
"342",5895,1044787,0,"38","Female","White",2005,"Nursing","","","","Pediatric Nurse Practitioner","","Healthcare/Medical Services","Celina","TX","Celina, TX",1,-96.7844417,33.3245586
"343",5896,1033719,0,"41","Female","White",2008,"Nursing","","","","Pediatric Nurse Practitioner","","Healthcare/Medical Services","Bala Cynwyd","PA","Bala Cynwyd, PA",1,-75.2304038,40.0131418
"344",5897,10045682,0,"49","Female","White",1970,"Nursing","","","","Pediatric Nurse Practitioner","","","Great Falls","VA","Great Falls, VA",1,-77.2883157,38.9981652
"345",5898,10057557,0,"60","Female","",1980,"Nursing","","","","Pediatric Nurse Practitioner","","","Redwood City","CA","Redwood City, CA",1,-122.2363548,37.4852152
"346",5899,10020117,0,"57","Female","",1983,"Biology","","","","Pediatric Nurse Practitioner","","","Northampton","MA","Northampton, MA",1,-72.6412013,42.3250896
"347",5900,10055519,0,"58","Female","",1984,"Nursing","","","","Pediatric Nurse Practitioner","","","Norwell","MA","Norwell, MA",1,-70.7927832,42.1615157
"348",5901,10048577,0,"55","Female","White",1985,"Nursing","","","","Pediatric Nurse Practitioner","","","Waltham","MA","Waltham, MA",1,-71.2356113,42.3764852
"349",5902,603,0,"47","Female","White",1994,"Nursing","","","","Pediatric Nurse Practitioner","","","Essex","MA","Essex, MA",1,-70.7829315,42.6319582
"350",5903,201975,0,"45","Female","Black or African American",1995,"Nursing","","","","Pediatric Nurse Practitioner","","","Brooklyn","NY","Brooklyn, NY",1,-73.9441579,40.6781784
"351",5904,967533,0,"32","Female","White",2009,"Biopsychology","","","","Pediatric Nurse Practitioner","","","Vassalboro","ME","Vassalboro, ME",1,-69.6777605,44.4588807
"352",5913,1424516,0,"27","Female","White",2014,"Nursing","","","","Pediatric Registered Nurse","","Healthcare/Medical Services","Fort Defiance","AZ","Fort Defiance, AZ",1,-109.0764828,35.7444602
"353",5914,1445802,0,"26","Female","White",2014,"Nursing","","","","Pediatric Registered Nurse","","Healthcare/Medical Services","Watertown","MA","Watertown, MA",1,-71.1828321,42.3709299
"354",5915,1503071,0,"25","Female","White",2015,"Nursing","","","","Pediatric Registered Nurse","","Healthcare/Medical Services","Wellesley","MA","Wellesley, MA",1,-71.2923877,42.296797
"355",5916,1647788,0,"27","Female","White",2016,"Nursing","","","","Pediatric Registered Nurse","","Healthcare/Medical Services","Brookline","MA","Brookline, MA",1,-71.1211635,42.3317642
"356",5923,10070684,0,"50","Female","White",1991,"Nursing","Sociology","","","Pediatrics Nurse Practitioner","","Healthcare/Medical Services","Andover","MA","Andover, MA",1,-71.1367953,42.6583356
"357",5931,144729,0,"50","Female","White",1994,"Nursing","","","","Per Diem Nurse","","","Portsmouth","NH","Portsmouth, NH",1,-70.7625532,43.0717552
"358",6428,957785,0,"32","Female","White",2009,"Nursing","","","","PICU Staff RN","Nurse","Healthcare/Medical Services","Watertown","MA","Watertown, MA",1,-71.1828321,42.3709299
"359",6433,524078,0,"60","Female","Black or African American",2003,"Managerial Finance","","","","Planned Care Coordinator","Nurse","Healthcare/Medical Services","Brockton","MA","Brockton, MA",1,-71.0183787,42.0834335
"360",6679,10000774,0,"68","Female","Black or African American",1973,"Education","Sociology","","","Primary Director, Nursery - Grade 5)","","Education - Primary/Secondary","South Orange","NJ","South Orange, NJ",1,-74.2609903,40.7489277
"361",6680,1409694,0,"33","Female","",2012,"Nursing","","","","Primary Nurse","Nurse","Healthcare/Medical Services","Brighton","MA","Brighton, MA",1,-71.1626756,42.3463503
"362",6772,1041044,0,"50","Female","White",2011,"Nursing","","","","Private Duty Pediatric Nurse","","Healthcare/Medical Services","Boston","MA","Boston, MA",1,-71.0588801,42.3600825
"363",6847,1476873,0,"25","Female","White",2016,"Nursing","","","","Professional Registered Nurse","","Healthcare/Medical Services","Saugus","MA","Saugus, MA",1,-71.0110473,42.4651421
"364",6992,145253,0,"47","Female","White",1995,"Nursing","","","","Program Nurse","","","Malden","MA","Malden, MA",1,-71.066163,42.4250964
"365",7120,10006232,0,"49","Female","",1970,"Nursing","","","","Psychiatric Clinical Nurse Specialist","","","Charlton","MA","Charlton, MA",1,-71.970074,42.13565
"366",7121,10032825,0,"66","Female","White",1975,"Nursing","","","","Psychiatric Mental Health Nurse Practitioner","Nurse","Healthcare/Medical Services","Standish","ME","Standish, ME",1,-70.5509356,43.7355927
"367",7122,1470691,0,"28","Female","White",2014,"Nursing","","","","Psychiatric Nurse","","Healthcare/Medical Services","San Diego","CA","San Diego, CA",1,-117.1610838,32.715738
"368",7123,1496394,0,"33","Female","White",2014,"Nursing","","","","Psychiatric Nurse","","Healthcare/Medical Services","Marshfield","MA","Marshfield, MA",1,-70.7055871,42.0917453
"369",7124,10041725,0,"47","Female","",1966,"Nursing","","","","Psychiatric Nurse","","","Chebeague Island","ME","Chebeague Island, ME",1,-70.1074892,43.7416573
"370",7125,10033827,0,"48","Female","",1967,"Nursing","","","","Psychiatric Nurse","","","Kirkland","WA","Kirkland, WA",1,-122.2059833,47.6768927
"371",7126,10029717,0,"","Female","Black or African American",1976,"Nursing","","","","Psychiatric Nurse","","","Northridge","CA","Northridge, CA",1,-118.530123,34.2381251
"372",7127,279788,0,"57","Female","",1997,"Nursing","","","","Psychiatric Nurse","","","Marietta","GA","Marietta, GA",1,-84.5499327,33.952602
"373",7128,1059768,0,"31","Female","White",2014,"Nursing","","","","Psychiatric Nurse","","","North Andover","MA","North Andover, MA",1,-71.1350575,42.6987024
"374",7129,10054491,0,"53","Female","White",1987,"Nursing","","","","Psychiatric Nurse Clinical Specialist/Co-Owner","","","Acton","MA","Acton, MA",1,-71.43284,42.4850931
"375",7130,1152629,0,"30","Female","White",2010,"Nursing","","","","Psychiatric Nurse Practitioner","","Healthcare/Medical Services","Brighton","MA","Brighton, MA",1,-71.1626756,42.3463503
"376",7131,10048941,0,"55","Female","",1985,"Nursing","","","","Psychiatric Nurse Practitioner","","","Norton","MA","Norton, MA",1,-71.1869963,41.9667703
"377",7132,10041936,0,"57","Female","",1984,"Nursing","","","","Psychiatric Nurse, Vista Del Mar Hospital","","","Arundel","ME","Arundel, ME",1,-70.5141622,43.4243008
"378",7210,10031568,0,"48","Female","White",1967,"Nursing","","","","Public Health Nurse","","","Plaistow","NH","Plaistow, NH",1,-71.0947805,42.8364781
"379",7211,10024831,0,"49","Female","",1971,"Nursing","","","","Public Health Nurse","","","Freeland","WA","Freeland, WA",1,-122.525983,48.009537
"380",7212,10051357,0,"57","Female","",1984,"Nursing","","","","Public Health Nurse","","","Amherst","MA","Amherst, MA",1,-72.5198537,42.3732216
"381",7213,10050584,0,"55","Female","",1985,"Nursing","","","","Public Health Nurse (schools)","","","Haverhill","MA","Haverhill, MA",1,-71.0772796,42.7762015
"382",7282,10049680,0,"55","Female","",1987,"Communications","","","","R.N.","Nurse","Healthcare/Medical Services","Manchester","MA","Manchester, MA",1,-70.7675967,42.577834
"383",7293,10047985,0,"52","Female","White",1988,"Physical Therapy","","","","Rakingham Visiting Nurses","","","Westport","MA","Westport, MA",1,-71.0735476,41.5700183
"384",7418,10049595,0,"57","Female","White",1983,"Nursing","","","","Recovery Room Registered Nurse","","","Marshfield","MA","Marshfield, MA",1,-70.7055871,42.0917453
"385",7467,98253,0,"55","Female","",1988,"Nursing","","","","Register Nurse/Nursing Supervisor","","","Chestnut Hill","MA","Chestnut Hill, MA",1,-88.2512042,42.9733581
"386",7468,10057590,0,"","Female","",1980,"Nursing","","","","Registerd Nurse","","","Newton","MA","Newton, MA",1,-71.2092214,42.3370413
"387",7469,200445,0,"44","Female","White",1996,"Biology","","","","Registerd Nurse/Cardiology Nurse Manager","","","Eastport","ME","Eastport, ME",1,-66.9899785,44.9061906
"388",7470,1019213,0,"37","Female","White",2017,"Nursing","","","","Registered  Nurse","","Healthcare/Medical Services","Quincy","MA","Quincy, MA",1,-71.0022705,42.2528772
"389",7497,242672,0,"49","Female","White",1996,"Nursing","","","","Registered Maternity Nurse","","","Cumberland Center","ME","Cumberland Center, ME",1,-70.2589388,43.7964679
"390",7499,1589977,0,"32","Female","",2014,"Nursing","","","","Registered Nurse","","Pharmaceutical/Biotechnology","Weymouth","MA","Weymouth, MA",1,-70.9410356,42.2180724
"391",7500,1320969,0,"28","Female","",2013,"Nursing","","Public Health","","Registered Nurse","","Non-Profit","Boston","MA","Boston, MA",1,-71.0588801,42.3600825
"392",7501,1466407,0,"27","Female","White",2014,"Nursing","","","","Registered Nurse","","Non-Profit","Waltham","MA","Waltham, MA",1,-71.2356113,42.3764852
"393",7502,1306727,0,"29","Female","White",2012,"Nursing","","","","Registered Nurse","Nurse","Military","Washington","DC","Washington, DC",1,-77.0368707,38.9071923
"394",7503,10049199,0,"55","Female","",1985,"Nursing","","","","Registered Nurse","","Libraries","Hull","MA","Hull, MA",1,-70.9078346,42.3020647
"395",7504,779075,0,"33","Female","White",2007,"Nursing","","","","Registered Nurse","","Insurance - Medical","Salisbury","MD","Salisbury, MD",1,-75.5993692,38.3606736
"396",7505,10046994,0,"60","Female","",1981,"Nursing","","","","Registered Nurse","","Healthcare/Medical Services","Worcester","MA","Worcester, MA",1,-71.8022934,42.2625932
"397",7506,10048915,0,"59","Female","White",1983,"Public Relations","","","","Registered Nurse","Nurse","Healthcare/Medical Services","Java","VA","Java, VA",1,-79.2277979,36.8359709
"398",7507,10049616,0,"57","Female","",1983,"Nursing","","","","Registered Nurse","","Healthcare/Medical Services","Billerica","MA","Billerica, MA",1,-71.2689461,42.5584218
"399",7508,10050172,0,"58","Female","White",1985,"Nursing","","","","Registered Nurse","","Healthcare/Medical Services","Foxboro","MA","Foxboro, MA",1,-71.2478251,42.0653812
"400",7509,10055341,0,"55","Female","",1986,"Public Relations","","","","Registered Nurse","Nurse","Healthcare/Medical Services","Wilton","NY","Wilton, NY",1,-73.7442863,43.1800734
"401",7510,107257,0,"54","Female","White",1987,"Biology","","","","Registered Nurse","","Healthcare/Medical Services","Framingham","MA","Framingham, MA",1,-71.4161565,42.279286
"402",7511,10048835,0,"54","Female","",1987,"Nursing","","","","Registered Nurse","","Healthcare/Medical Services","North Andover","MA","North Andover, MA",1,-71.1350575,42.6987024
"403",7512,10061944,0,"55","Female","",1987,"Nutrition","","","","Registered Nurse","","Healthcare/Medical Services","Hackettstown","NJ","Hackettstown, NJ",1,-74.8290555,40.8539879
"404",7513,10046566,0,"54","Female","White",1990,"Management","","","","Registered Nurse","","Healthcare/Medical Services","Marlborough","MA","Marlborough, MA",1,-71.5522874,42.3459271
"405",7514,115277,0,"47","Female","White",1993,"Nursing","","","","Registered Nurse","Nurse","Healthcare/Medical Services","Veazie","ME","Veazie, ME",1,-68.7053114,44.8386814
"406",7515,208949,0,"67","Female","",1993,"Nutrition","","","","Registered Nurse","","Healthcare/Medical Services","West Roxbury","MA","West Roxbury, MA",1,-71.1626756,42.2797554
"407",7516,235815,0,"52","Female","White",1995,"Nursing","","","","Registered Nurse","","Healthcare/Medical Services","Salisbury","MA","Salisbury, MA",1,-70.8605982,42.841723
"408",7517,236410,0,"44","Female","White",1996,"Nursing","","","","Registered Nurse","","Healthcare/Medical Services","Stow","MA","Stow, MA",1,-71.5056199,42.4370374
"409",7518,239391,0,"44","Female","White",1996,"Nursing","","","","Registered Nurse","","Healthcare/Medical Services","Melrose","MA","Melrose, MA",1,-71.0661633,42.4584292
"410",7519,237395,0,"44","Female","White",1997,"Nursing","","","","Registered Nurse","","Healthcare/Medical Services","Milton","MA","Milton, MA",1,-71.0661653,42.2495321
"411",7520,269013,0,"43","Female","White",1997,"Nursing","","","","Registered Nurse","Nurse","Healthcare/Medical Services","Groton","MA","Groton, MA",1,-71.5745152,42.6112018
"412",7521,305483,0,"64","Female","",1998,"Nursing","","","","Registered Nurse","","Healthcare/Medical Services","Medford","MA","Medford, MA",1,-71.1061639,42.4184296
"413",7522,312569,0,"50","Female","",1998,"Nursing","","","","Registered Nurse","","Healthcare/Medical Services","Uxbridge","MA","Uxbridge, MA",1,-71.6302532,42.0772429
"414",7523,381430,0,"50","Female","",1998,"Nursing","","","","Registered Nurse","","Healthcare/Medical Services","Marblehead","MA","Marblehead, MA",1,-70.8578024,42.4999582
"415",7524,324727,0,"42","Female","White",1999,"Physical Therapy","","Biology","","Registered Nurse","Nurse","Healthcare/Medical Services","Charlestown","MA","Charlestown, MA",1,-71.0602131,42.3782065
"416",7525,395379,0,"47","Female","Black or African American",1999,"Nursing","","","","Registered Nurse","","Healthcare/Medical Services","Dorchester","MA","Dorchester, MA",1,-71.067605,42.3016305
"417",7526,449852,0,"44","Female","White",2001,"Nursing","","","","Registered Nurse","","Healthcare/Medical Services","Peterborough","NH","Peterborough, NH",1,-71.9516746,42.8706048
"418",7527,437250,0,"38","Female","Asian",2002,"Nursing","","","","Registered Nurse","","Healthcare/Medical Services","Boston","MA","Boston, MA",1,-71.0588801,42.3600825
"419",7528,444368,0,"38","Female","White",2002,"Nursing","","","","Registered Nurse","","Healthcare/Medical Services","Boston","MA","Boston, MA",1,-71.0588801,42.3600825
"420",7529,429174,0,"39","Female","White",2003,"Nursing","","Biology","","Registered Nurse","","Healthcare/Medical Services","Croydon","NH","Croydon, NH",1,-72.1631276,43.4506116
"421",7530,533631,0,"37","Female","White",2004,"Psychology","","Spanish","","Registered Nurse","","Healthcare/Medical Services","Dorchester","MA","Dorchester, MA",1,-71.067605,42.3016305
"422",7531,563947,0,"37","Female","Latino/a or Hispanic",2004,"Nursing","","","","Registered Nurse","","Healthcare/Medical Services","Hyde Park","MA","Hyde Park, MA",1,-71.1240559,42.2565289
"423",7532,633224,0,"43","Female","Asian",2004,"Biology","","","","Registered Nurse","","Healthcare/Medical Services","Encinitas","CA","Encinitas, CA",1,-117.2919818,33.0369867
"424",7533,525816,0,"41","Female","Latino/a or Hispanic",2005,"Nursing","","","","Registered Nurse","","Healthcare/Medical Services","Cambridge","MA","Cambridge, MA",1,-71.1097335,42.3736158
"425",7534,944325,0,"35","Female","White",2005,"Psychology","","","","Registered Nurse","","Healthcare/Medical Services","Boston","MA","Boston, MA",1,-71.0588801,42.3600825
"426",7535,316241,0,"44","Female","Black or African American",2006,"Nursing","","","","Registered Nurse","","Healthcare/Medical Services","Dorchester","MA","Dorchester, MA",1,-71.067605,42.3016305
"427",7536,479109,0,"37","Female","Black or African American",2006,"Nursing","","","","Registered Nurse","","Healthcare/Medical Services","Malden","MA","Malden, MA",1,-71.066163,42.4250964
"428",7537,564260,0,"43","Female","White",2006,"Nursing","","","","Registered Nurse","Nurse","Healthcare/Medical Services","Chapel Hill","NC","Chapel Hill, NC",1,-79.0558445,35.9131996
"429",7538,693464,0,"41","Female","White",2006,"Nursing","Society and Health","","","Registered Nurse","","Healthcare/Medical Services","Scituate","MA","Scituate, MA",1,-70.7258633,42.195929
"430",7539,697421,0,"35","Female","White",2006,"Member of the Honors","OPEN Program","","","Registered Nurse","Nurse","Healthcare/Medical Services","Baltimore","MD","Baltimore, MD",1,-76.6121893,39.2903848
"431",7540,705341,0,"35","Female","White",2006,"Nursing","","","","Registered Nurse","Nurse","Healthcare/Medical Services","Westwood","MA","Westwood, MA",1,-71.2244987,42.2139873
"432",7541,794155,0,"44","Female","White",2006,"Nursing","","","","Registered Nurse","Nurse","Healthcare/Medical Services","Waterbury","VT","Waterbury, VT",1,-72.7562636,44.3378203
"433",7542,815964,0,"42","Female","Asian",2006,"Nursing","","","","Registered Nurse","Nurse","Healthcare/Medical Services","Reading","MA","Reading, MA",1,-71.0952891,42.5256563
"434",7544,681260,0,"34","Female","White",2007,"Nursing","","","","Registered Nurse","Nurse","Healthcare/Medical Services","Portland","ME","Portland, ME",1,-70.2568189,43.6590993
"435",7545,809329,0,"35","Female","White",2007,"Nursing","","","","Registered Nurse","","Healthcare/Medical Services","Boston","MA","Boston, MA",1,-71.0588801,42.3600825
"436",7546,968713,0,"33","Female","White",2007,"Nursing","","","","Registered Nurse","","Healthcare/Medical Services","South Boston","MA","South Boston, MA",1,-71.0475773,42.3381437
"437",7547,1015691,0,"40","Female","White",2007,"Nursing","","","","Registered Nurse","","Healthcare/Medical Services","Duxbury","MA","Duxbury, MA",1,-70.6722767,42.0417525
"438",7548,1030461,0,"35","Female","White",2007,"Nursing","","","","Registered Nurse","Nurse","Healthcare/Medical Services","Natick","MA","Natick, MA",1,-71.3468091,42.2775281
